"polling_place","lat","lon","yes_abs","yes_pct","no_abs","no_pct"
"Schmiedenhof",47.5568148,7.5875794,831,49.1425192193968,860,50.8574807806032
"Gewerbeschule",47.55743,7.58395,764,48.385053831539,815,51.614946168461
"Schulhaus Weiherweg",47.55375,7.57552,675,55.327868852459,545,44.672131147541
"Hallenschwimmbad Viadukt",47.55001,7.58342,524,44.9785407725322,641,55.0214592274678
"Gotthelfschulhaus",47.5544,7.56814,1126,60.1495726495726,746,39.8504273504274
"Restaurant zum Exil",NA,NA,790,55.594651653765,631,44.405348346235
"Isaak Iselin-Schulhaus",47.56273,7.57067,1966,64.5860709592641,1078,35.4139290407359
"Restaurant zum alten Zoll",47.57247,7.57607,491,67.1682626538988,240,32.8317373461012
"Pestalozzischulhaus",47.56579,7.5814,1521,65.2509652509653,810,34.7490347490347
"Steinenschulhaus",47.5525,7.5901,482,49.5884773662551,490,50.4115226337449
"Gundeldingerschulhaus",47.54305,7.58689,766,55.7090909090909,609,44.2909090909091
"Thiersteinerschulhaus",47.54159,7.59552,1876,61.0677083333333,1196,38.9322916666667
"Sevogelschulhaus",47.54975,7.60301,452,41.5823367065317,635,58.4176632934683
"Bruderholzschulhaus",47.53038,7.59565,212,50.4761904761905,208,49.5238095238095
"Saalbau Breite",47.55403,7.60813,1051,68.2467532467532,489,31.7532467532468
"Thomas Platter-Schulhaus",47.56073,7.59657,1100,59.7176981541802,742,40.2823018458198
"Rosentalschulhaus",47.56344,7.60144,1497,62.7409891031014,889,37.2590108968986
"Gemeindehaus St. Markus",47.5681,7.61529,602,59.4274432379072,411,40.5725567620928
"Bläsischulhaus",47.56798,7.59287,1977,64.5867363606664,1084,35.4132636393336
"Inselschulhaus",47.57764,7.58892,612,70.5882352941177,255,29.4117647058824
"Ehem. Gemeindeh. Kleinhüningen",47.58393,7.59226,253,63.25,147,36.75
"Bundesbahnhof",47.54731,7.59025,903,57.3697585768742,671,42.6302414231258
"Rathaus",47.55815,7.58827,314,44.793152639087,387,55.206847360913
"Militär",NA,NA,5,55.5555555555556,4,44.4444444444444
"Kranke und Gebrechliche",NA,NA,74,77.8947368421053,21,22.1052631578947
